Drink Name,Basic Description
Caffè Latte,"Espresso with steamed milk and light foam; smooth, milky, classic coffeehouse staple."
Lavender Latte,"Espresso, steamed milk, and lavender flavor for floral sweetness and creamy texture."
Toasted Coconut Latte,"Espresso, steamed milk, and toasted coconut flavor; lightly sweet, tropical, nutty."
Pistachio Latte,"Espresso and steamed milk with pistachio flavor; rich, nutty, slightly sweet."
Vanilla Protein Latte,"Espresso with protein milk and vanilla flavor; creamy, higher-protein, lightly sweet."
Sugar-Free Vanilla Protein Latte,"Espresso, protein milk, and sugar-free vanilla flavor; creamy and lighter."
Caramel Protein Latte,"Espresso with protein milk and caramel flavor; sweet, creamy, protein-forward."
Cappuccino,"Espresso with steamed milk and thick foam; airy texture, stronger coffee taste."
Flat White,Ristretto espresso shots with steamed milk; velvety texture and bolder espresso.
Caramel Macchiato,"Vanilla syrup, steamed milk, espresso, and caramel drizzle; layered and sweet."
Caffè Mocha,"Espresso, mocha sauce, steamed milk, and whipped cream; chocolate-forward and rich."
White Chocolate Mocha,"Espresso, white chocolate sauce, steamed milk, whipped cream; sweet and creamy."
Americano,"Espresso diluted with hot water; bold flavor, lighter body than drip coffee."
Blonde Vanilla Latte,"Blonde espresso, steamed milk, and vanilla syrup; smoother, sweeter, lighter roast."
Brewed Coffee,Freshly brewed coffee; roast-forward flavor with no milk unless customized.
Espresso,"Concentrated coffee shot with intense flavor, crema, and no added milk."
Espresso Con Panna,"Espresso topped with whipped cream; small, rich, lightly sweetened coffee."
Flat White with Oatmilk,Ristretto shots and oatmilk; velvety mouthfeel with slightly grainy sweetness.
Iced Caffè Latte,"Espresso, milk, and ice; simple chilled latte with balanced coffee flavor."
Iced Lavender Latte,"Espresso, milk, ice, and lavender flavor; floral and softly sweet."
Iced Toasted Coconut Latte,"Espresso, milk, ice, and toasted coconut flavor; cool, nutty, tropical."
Iced Caramel Macchiato,"Vanilla syrup, milk, ice, espresso, caramel drizzle; layered sweet iced coffee."
Iced Caffè Mocha,"Espresso, mocha sauce, milk, ice, whipped cream; chilled chocolate coffee."
Iced White Chocolate Mocha,"Espresso, white chocolate sauce, milk, ice, whipped cream; creamy dessert-like."
Iced Americano,"Espresso with cold water and ice; bold, refreshing, no milk."
Cold Brew,"Slow-steeped cold coffee; smooth, less acidic, subtly chocolatey and refreshing."
Vanilla Sweet Cream Cold Brew,"Cold brew topped with vanilla sweet cream; smooth, sweet, creamy finish."
Salted Caramel Cream Cold Brew,Cold brew with caramel cream cold foam and salt; sweet-savory.
Toasted Coconut Cream Cold Brew,Cold brew topped with toasted coconut cream foam; tropical and smooth.
Nitro Cold Brew,"Nitrogen-infused cold brew; silky texture, cascading foam, naturally sweeter feel."
Nitro Vanilla Sweet Cream,"Nitro cold brew with vanilla sweet cream; velvety, sweet, extra smooth."
Iced Coffee,"Chilled brewed coffee served over ice; straightforward, refreshing, lightly bitter."
Iced Shaken Espresso,"Espresso shaken with ice and syrup; frothy, chilled, lightly sweet."
Brown Sugar Oatmilk Shaken Espresso,"Blonde espresso, brown sugar, cinnamon, oatmilk, ice; sweet and spiced."
Hazelnut Oatmilk Shaken Espresso,"Espresso, hazelnut flavor, oatmilk, and ice; nutty, smooth, lightly sweet."
Iced Espresso,"Straight espresso shots over ice; concentrated flavor, bracing, minimal dilution."
Iced Flat White,"Ristretto shots, milk, and ice; creamy texture with stronger espresso taste."
Iced Blonde Vanilla Latte,"Blonde espresso, vanilla syrup, milk, and ice; softer and sweeter."
Iced Matcha Latte,"Matcha powder, milk, classic syrup, and ice; grassy, creamy, sweet."
Matcha Latte,"Matcha powder with steamed milk and sweetness; earthy, creamy, vibrant green."
Iced Caramel Protein Latte,"Protein milk, espresso, caramel flavor, and ice; sweet, creamy, filling."
Iced Sugar-Free Caramel Protein Latte,"Espresso, protein milk, sugar-free caramel flavor, and ice; lighter sweet."
Iced Caramel Protein Matcha,"Matcha, protein milk, caramel flavor, and ice; creamy, sweet, greener."
Hot Tea,Brewed tea served hot; variety depends on selected tea blend.
Chai Tea Latte,"Black tea concentrate, warming spices, and steamed milk; sweet and spiced."
Iced Chai Tea Latte,"Chai concentrate, milk, and ice; sweet, spiced, and refreshing."
London Fog Latte,"Earl Grey tea, vanilla syrup, and steamed milk; citrusy and creamy."
Honey Citrus Mint Tea,"Jade Citrus Mint, Peach Tranquility, lemonade, honey blend; soothing and bright."
Iced Black Tea,"Shaken black tea over ice; crisp, unsweetened unless customized."
Iced Black Tea Lemonade,"Black tea, lemonade, and ice; brisk, tart, and refreshing."
Iced Green Tea,"Shaken green tea over ice; lighter body, herbal, subtly refreshing."
Iced Green Tea Lemonade,"Green tea, lemonade, and ice; citrusy, slightly grassy, very refreshing."
Iced Peach Green Tea,"Green tea, peach flavor, and ice; fruity, light, easy drinking."
Iced Peach Green Tea Lemonade,"Green tea, peach flavor, lemonade, and ice; tart-fruity combination."
Iced Passion Tango Tea,"Herbal hibiscus-cinnamon tea shaken with ice; tangy, caffeine-free, bright."
