Drink Name,Basic Description,Category,Sweetness (1-5),Caffeine (1-5),Hotness (1-5),Creaminess (1-5),Coffee Intensity (1-5),Chocolate Flavor (1-5),Fruit Flavor (1-5),Spice / Floral (1-5),Coldness (1-5),Dessert Richness (1-5),Signature Key,Unique Signature?
Caffè Latte,"Espresso with steamed milk and light foam; smooth, milky, classic coffeehouse staple.",Espresso Beverage,2,4,5,4,3,1,1,1,1,3,2-4-5-4-3-1-1-1-1-3,Yes
Lavender Latte,"Espresso, steamed milk, and lavender flavor for floral sweetness and creamy texture.",Espresso Beverage,3,4,5,4,3,1,1,5,1,3,3-4-5-4-3-1-1-5-1-3,Yes
Toasted Coconut Latte,"Espresso, steamed milk, and toasted coconut flavor; lightly sweet, tropical, nutty.",Espresso Beverage,2,4,5,4,3,1,1,1,1,4,2-4-5-4-3-1-1-1-1-4,Yes
Pistachio Latte,"Espresso and steamed milk with pistachio flavor; rich, nutty, slightly sweet.",Espresso Beverage,3,4,5,4,3,1,1,1,1,3,3-4-5-4-3-1-1-1-1-3,Yes
Vanilla Protein Latte,"Espresso with protein milk and vanilla flavor; creamy, higher-protein, lightly sweet.",Espresso Beverage,3,4,5,4,3,1,1,1,1,2,3-4-5-4-3-1-1-1-1-2,Yes
Sugar-Free Vanilla Protein Latte,"Espresso, protein milk, and sugar-free vanilla flavor; creamy and lighter.",Espresso Beverage,2,4,5,4,3,1,1,1,1,2,2-4-5-4-3-1-1-1-1-2,Yes
Caramel Protein Latte,"Espresso with protein milk and caramel flavor; sweet, creamy, protein-forward.",Espresso Beverage,4,4,5,4,3,1,1,1,1,3,4-4-5-4-3-1-1-1-1-3,Yes
Cappuccino,"Espresso with steamed milk and thick foam; airy texture, stronger coffee taste.",Espresso Beverage,2,4,5,3,1,1,1,1,1,1,2-4-5-3-1-1-1-1-1-1,Yes
Flat White,Ristretto espresso shots with steamed milk; velvety texture and bolder espresso.,Espresso Beverage,2,4,5,4,1,1,1,1,1,3,2-4-5-4-1-1-1-1-1-3,Yes
Caramel Macchiato,"Vanilla syrup, steamed milk, espresso, and caramel drizzle; layered and sweet.",Espresso Beverage,3,4,5,4,3,1,1,1,1,4,3-4-5-4-3-1-1-1-1-4,Yes
Caffè Mocha,"Espresso, mocha sauce, steamed milk, and whipped cream; chocolate-forward and rich.",Espresso Beverage,4,4,5,4,3,4,1,1,1,4,4-4-5-4-3-4-1-1-1-4,Yes
White Chocolate Mocha,"Espresso, white chocolate sauce, steamed milk, whipped cream; sweet and creamy.",Espresso Beverage,4,4,5,4,3,5,1,1,1,4,4-4-5-4-3-5-1-1-1-4,Yes
Americano,"Espresso diluted with hot water; bold flavor, lighter body than drip coffee.",Coffee,1,4,5,1,5,1,1,1,1,1,1-4-5-1-5-1-1-1-1-1,Yes
Blonde Vanilla Latte,"Blonde espresso, steamed milk, and vanilla syrup; smoother, sweeter, lighter roast.",Espresso Beverage,3,4,5,5,3,1,1,1,1,3,3-4-5-5-3-1-1-1-1-3,Yes
Brewed Coffee,Freshly brewed coffee; roast-forward flavor with no milk unless customized.,Coffee,1,4,5,1,5,1,1,1,1,2,1-4-5-1-5-1-1-1-1-2,Yes
Espresso,"Concentrated coffee shot with intense flavor, crema, and no added milk.",Coffee,1,5,5,1,5,1,1,1,1,1,1-5-5-1-5-1-1-1-1-1,Yes
Espresso Con Panna,"Espresso topped with whipped cream; small, rich, lightly sweetened coffee.",Coffee,4,4,5,4,5,1,1,1,1,4,4-4-5-4-5-1-1-1-1-4,Yes
Flat White with Oatmilk,Ristretto shots and oatmilk; velvety mouthfeel with slightly grainy sweetness.,Espresso Beverage,2,4,5,4,1,1,1,1,1,4,2-4-5-4-1-1-1-1-1-4,Yes
